countryISO3,Deliberate neural restructuring: Religious practice,Deliberate neural restructuring: Schooling & research,Experience oriented: Active recreation,Experience oriented: Interactive,Experience oriented: Meals,Experience oriented: Passive,Experience oriented: Social,Food provision: Food growth & collection,Food provision: Food preparation,Food provision: Food processing,Maintenance of surroundings: Inhabited environment,Maintenance of surroundings: Waste management,Nonfood provision: Energy,Nonfood provision: Materials,Organization: Allocation,Organization: Human transportation,Organization: Material transportation,Somatic maintenance: Health care,Somatic maintenance: Hygiene & grooming,Somatic maintenance: Physical child care,Somatic maintenance: Sleep & bedrest,Technosphere modification: Artifacts,Technosphere modification: Buildings,Technosphere modification: Infrastructure,cluster
ABW,0.23,1.22,0.46,1.28,1.27,2.12,1.0,0.17,1.47,0.0,1.41,0.02,0.05,0.03,1.54,0.73,0.12,0.47,0.93,0.7,8.21,0.25,0.22,0.07,1
AFG,0.29,1.33,0.23,0.62,1.62,2.05,1.8,0.88,1.14,0.1,0.68,0.0,0.02,0.04,0.74,0.75,0.25,0.06,1.2,0.27,9.49,0.18,0.2,0.07,9
AGO,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
ALB,0.07,1.03,0.43,0.61,2.02,3.06,0.73,0.82,1.1,0.04,0.83,0.01,0.04,0.05,0.6,1.11,0.12,0.1,0.79,0.33,9.4,0.4,0.28,0.03,0
ARE,0.47,0.93,0.49,0.9,1.79,3.09,1.09,0.36,0.88,0.04,0.86,0.01,0.03,0.04,0.79,0.77,0.21,0.13,0.85,0.25,9.45,0.31,0.21,0.04,3
ARG,0.17,1.05,0.57,1.15,1.31,2.9,1.21,0.13,0.7,0.0,0.72,0.01,0.03,0.03,1.41,1.11,0.35,0.16,1.0,0.33,8.78,0.54,0.28,0.08,2
ARM,0.47,0.99,0.49,0.92,1.79,3.09,1.09,0.48,0.85,0.09,0.82,0.0,0.06,0.06,0.72,0.77,0.23,0.18,0.85,0.25,9.45,0.16,0.15,0.05,3
ATG,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
AUS,0.16,0.92,0.56,0.93,1.45,3.06,0.99,0.13,0.81,0.0,1.02,0.01,0.03,0.06,1.35,1.02,0.34,0.31,0.88,0.34,8.9,0.36,0.32,0.08,2
AUT,0.1,0.85,0.74,0.92,1.64,2.79,0.86,0.22,0.82,0.07,1.2,0.01,0.03,0.03,1.38,0.87,0.37,0.23,0.88,0.27,8.78,0.54,0.3,0.1,7
AZE,0.48,0.98,0.49,0.9,1.79,3.1,1.1,0.61,0.83,0.01,0.82,0.01,0.04,0.1,0.73,0.78,0.17,0.12,0.84,0.25,9.45,0.19,0.17,0.04,3
BDI,0.15,1.06,0.39,1.1,1.88,2.25,0.93,1.86,0.72,0.1,0.83,0.01,0.0,0.11,0.49,0.98,0.25,0.35,1.06,0.29,8.93,0.13,0.12,0.01,6
BEL,0.09,0.97,0.58,1.28,1.89,3.31,0.7,0.09,0.78,0.05,0.97,0.01,0.02,0.01,1.13,1.01,0.32,0.19,0.92,0.2,8.91,0.33,0.19,0.05,7
BEN,0.32,1.12,0.25,0.99,1.3,2.53,1.27,0.93,0.79,0.04,0.63,0.0,0.05,0.14,0.89,0.86,0.35,0.01,0.93,0.22,10.01,0.29,0.05,0.02,9
BFA,0.25,1.28,0.44,1.2,1.59,2.33,1.55,0.63,0.66,0.01,0.62,0.02,0.09,0.41,0.87,0.95,0.16,0.24,0.97,0.3,8.83,0.46,0.1,0.04,8
BGD,0.27,1.32,0.23,0.62,1.62,2.05,1.8,0.84,1.18,0.1,0.73,0.0,0.02,0.04,0.55,0.76,0.3,0.05,1.23,0.27,9.49,0.36,0.14,0.02,9
BGR,0.08,0.57,0.52,0.48,1.92,3.07,0.72,0.57,1.25,0.12,1.35,0.01,0.06,0.04,0.96,0.74,0.38,0.13,0.68,0.16,9.25,0.58,0.32,0.05,7
BHR,0.47,0.93,0.49,0.9,1.79,3.09,1.09,0.36,0.88,0.04,0.86,0.01,0.03,0.04,0.79,0.77,0.21,0.13,0.85,0.25,9.45,0.31,0.21,0.04,3
BHS,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
BIH,0.1,0.79,0.73,0.79,2.02,3.01,0.73,0.38,1.0,0.08,1.08,0.02,0.1,0.05,1.0,0.96,0.35,0.17,0.93,0.24,8.83,0.43,0.19,0.04,7
BLR,0.06,0.82,0.51,1.07,1.15,2.58,0.77,0.49,1.08,0.13,1.0,0.01,0.15,0.06,1.03,0.92,0.42,0.21,1.13,0.37,9.15,0.56,0.27,0.06,2
BLZ,0.22,1.11,0.44,1.26,1.27,2.09,1.04,0.53,1.0,0.0,1.22,0.0,0.05,0.08,1.93,0.7,0.08,0.55,0.92,0.72,8.21,0.31,0.2,0.07,1
BOL,0.17,0.98,0.56,1.14,1.31,2.86,1.19,0.68,0.73,0.0,0.71,0.0,0.04,0.13,0.98,1.14,0.36,0.12,1.0,0.31,8.78,0.47,0.26,0.08,2
BRA,0.15,1.02,0.63,0.94,1.36,2.88,1.07,0.35,0.67,0.06,0.81,0.01,0.02,0.05,1.25,1.09,0.41,0.18,1.06,0.3,8.87,0.46,0.31,0.04,2
BRB,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
BRN,0.04,1.14,0.27,0.6,1.83,3.46,0.68,0.06,0.84,0.02,0.71,0.01,0.19,0.08,1.44,1.1,0.34,0.45,1.26,0.28,8.5,0.17,0.46,0.05,5
BTN,0.28,1.35,0.23,0.63,1.62,2.05,1.8,1.2,1.17,0.09,0.71,0.0,0.05,0.06,0.5,0.76,0.17,0.06,1.2,0.27,9.49,0.16,0.13,0.04,9
BWA,0.28,1.1,0.36,0.88,1.29,3.02,1.22,0.28,0.83,0.05,0.96,0.0,0.1,0.04,0.98,1.02,0.13,0.12,1.12,0.2,9.73,0.11,0.17,0.03,3
CAF,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
CAN,0.08,0.88,0.57,1.05,1.31,2.85,1.11,0.07,0.89,0.04,0.75,0.01,0.04,0.03,1.73,1.0,0.31,0.28,0.86,0.37,9.04,0.38,0.19,0.14,2
CHE,0.1,0.78,0.66,1.16,1.96,3.07,0.82,0.11,0.74,0.05,1.03,0.01,0.01,0.01,1.28,0.95,0.37,0.26,0.93,0.2,8.77,0.4,0.24,0.07,7
CHL,0.17,1.11,0.56,1.15,1.31,2.88,1.21,0.32,0.7,0.0,0.71,0.01,0.05,0.12,1.18,1.12,0.35,0.16,1.0,0.32,8.78,0.45,0.26,0.08,2
CHN,0.09,0.75,0.57,0.82,1.6,2.58,0.62,1.43,1.01,0.05,0.59,0.01,0.06,0.11,0.94,0.96,0.4,0.14,0.9,0.28,9.29,0.61,0.16,0.05,0
CIV,0.24,1.3,0.42,1.19,1.59,2.3,1.54,1.09,0.73,0.06,0.64,0.01,0.01,0.08,0.88,0.96,0.28,0.25,0.99,0.3,8.83,0.21,0.08,0.01,8
CMR,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
COD,0.44,1.95,0.44,0.95,1.14,1.83,1.05,1.11,0.81,0.02,0.71,0.0,0.08,0.1,0.48,1.02,0.47,0.05,0.82,0.27,9.79,0.41,0.03,0.02,4
COG,0.44,1.97,0.49,1.03,1.14,1.99,1.05,0.19,0.81,0.04,0.83,0.0,0.06,0.05,0.63,1.09,0.67,0.05,0.82,0.27,9.79,0.54,0.03,0.03,4
COL,0.23,1.01,0.33,1.86,1.12,2.77,1.56,0.35,0.91,0.05,0.76,0.01,0.03,0.05,1.18,0.86,0.19,0.19,0.88,0.38,8.47,0.47,0.28,0.05,2
COM,0.15,1.15,0.39,1.11,1.88,2.26,0.93,0.77,0.73,0.12,0.81,0.01,0.01,0.04,1.01,1.01,0.37,0.38,1.06,0.29,8.93,0.28,0.28,0.02,6
CPV,0.24,1.31,0.42,1.19,1.59,2.3,1.55,0.97,0.67,0.07,0.66,0.01,0.03,0.14,0.9,0.95,0.24,0.25,1.01,0.3,8.83,0.24,0.1,0.02,8
CRI,0.07,1.14,0.41,1.09,1.09,2.19,1.86,0.5,1.22,0.09,1.28,0.01,0.06,0.05,1.16,0.64,0.18,0.17,1.06,0.48,8.63,0.34,0.24,0.03,1
CUB,0.23,1.5,0.47,1.32,1.27,2.14,1.04,0.66,1.0,0.0,1.25,0.0,0.11,0.11,1.0,0.76,0.14,0.55,0.93,0.72,8.21,0.39,0.16,0.05,1
CUW,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
CYP,0.47,0.95,0.49,0.92,1.79,3.09,1.09,0.09,0.93,0.05,0.95,0.01,0.02,0.01,1.0,0.76,0.21,0.16,0.86,0.25,9.45,0.17,0.22,0.04,3
CZE,0.19,0.76,0.5,1.23,1.54,2.38,0.76,0.26,1.02,0.11,1.04,0.02,0.13,0.07,0.96,0.71,0.34,0.23,1.13,0.4,8.95,0.92,0.28,0.08,2
DEU,0.08,0.68,0.66,1.23,1.78,3.15,0.93,0.08,0.69,0.06,1.06,0.01,0.03,0.01,1.41,0.96,0.35,0.26,0.95,0.17,8.67,0.52,0.2,0.06,7
DJI,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
DNK,0.12,0.88,0.63,1.1,1.6,3.23,0.87,0.11,0.77,0.06,0.91,0.01,0.02,0.01,1.23,1.02,0.38,0.31,0.96,0.29,8.84,0.36,0.22,0.07,7
DOM,0.22,1.24,0.45,1.38,1.27,2.08,0.98,0.38,1.15,0.08,1.43,0.01,0.03,0.04,1.32,0.7,0.24,0.5,0.98,0.7,8.21,0.34,0.25,0.03,1
DZA,0.53,0.89,0.52,0.75,1.79,3.08,1.25,0.16,1.14,0.0,0.76,0.0,0.03,0.04,0.71,0.67,0.2,0.09,0.74,0.19,9.94,0.2,0.24,0.07,3
ECU,0.16,1.02,0.56,1.14,1.31,2.85,1.18,0.6,0.73,0.08,0.73,0.01,0.03,0.05,1.13,1.04,0.4,0.15,1.01,0.31,8.78,0.39,0.29,0.04,2
EGY,0.64,0.87,0.62,0.89,1.57,3.03,1.35,0.37,1.17,0.05,0.73,0.01,0.03,0.03,0.66,0.71,0.29,0.12,0.79,0.2,9.33,0.23,0.24,0.06,3
ERI,0.15,1.1,0.39,1.1,1.88,2.25,0.93,1.19,0.76,0.13,0.86,0.01,0.01,0.09,0.8,0.99,0.3,0.36,1.08,0.29,8.93,0.19,0.16,0.02,6
ESH,0.64,0.86,0.62,0.89,1.57,3.04,1.35,0.36,1.16,0.03,0.73,0.01,0.04,0.06,0.71,0.72,0.25,0.1,0.79,0.2,9.33,0.24,0.23,0.07,3
ESP,0.09,0.81,0.89,0.9,2.0,2.96,0.63,0.15,0.97,0.07,1.01,0.01,0.01,0.02,1.26,0.94,0.33,0.22,0.89,0.34,8.87,0.33,0.22,0.06,7
EST,0.07,0.83,0.66,1.15,1.52,3.28,0.51,0.13,0.85,0.06,0.99,0.0,0.07,0.04,1.15,0.84,0.5,0.2,0.95,0.27,9.11,0.51,0.26,0.05,7
ETH,0.11,1.03,0.47,1.14,1.83,2.14,1.15,1.24,0.83,0.16,0.92,0.01,0.01,0.08,0.68,0.96,0.17,0.34,1.06,0.31,8.92,0.23,0.17,0.04,6
FIN,0.09,0.81,0.8,1.24,1.58,3.48,0.74,0.1,0.72,0.04,1.01,0.01,0.02,0.03,1.01,0.92,0.33,0.25,0.87,0.25,8.95,0.43,0.24,0.06,7
FJI,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
FRA,0.12,0.84,0.65,1.04,2.21,3.02,0.71,0.12,0.81,0.06,1.0,0.01,0.02,0.01,1.14,0.93,0.43,0.21,0.92,0.24,8.87,0.35,0.23,0.06,7
FSM,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
GAB,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
GBR,0.12,0.88,0.61,1.16,1.6,3.22,0.76,0.08,0.77,0.04,0.86,0.01,0.02,0.01,1.33,1.05,0.41,0.26,0.99,0.26,8.93,0.32,0.23,0.07,7
GEO,0.47,0.98,0.49,0.92,1.79,3.09,1.09,0.52,0.86,0.06,0.84,0.01,0.03,0.04,0.73,0.77,0.23,0.16,0.85,0.25,9.45,0.15,0.18,0.04,3
GHA,0.21,1.4,0.49,1.28,1.72,2.2,1.67,0.99,0.64,0.1,0.65,0.01,0.01,0.1,0.92,1.01,0.2,0.36,1.03,0.33,8.33,0.2,0.12,0.02,8
GIN,0.24,1.31,0.42,1.19,1.59,2.3,1.55,0.97,0.67,0.07,0.66,0.01,0.03,0.14,0.9,0.95,0.24,0.25,1.01,0.3,8.83,0.24,0.1,0.02,8
GLP,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
GMB,0.24,1.3,0.42,1.2,1.59,2.3,1.54,0.68,0.61,0.04,0.66,0.01,0.01,0.04,1.22,0.95,0.28,0.25,1.02,0.29,8.83,0.33,0.15,0.03,8
GNB,0.24,1.31,0.42,1.19,1.59,2.3,1.55,0.97,0.67,0.07,0.66,0.01,0.03,0.14,0.9,0.95,0.24,0.25,1.01,0.3,8.83,0.24,0.1,0.02,8
GNQ,0.44,1.95,0.44,0.96,1.14,1.84,1.05,1.06,0.81,0.02,0.72,0.0,0.08,0.1,0.49,1.02,0.48,0.05,0.82,0.27,9.79,0.42,0.03,0.02,4
GRC,0.1,0.8,0.59,1.05,2.27,3.32,0.84,0.27,1.09,0.07,1.01,0.01,0.02,0.02,0.94,0.8,0.27,0.13,0.98,0.16,8.87,0.21,0.16,0.04,7
GRD,0.22,1.23,0.45,1.28,1.27,2.09,0.98,0.56,1.15,0.1,1.29,0.01,0.04,0.07,1.29,0.69,0.18,0.48,0.94,0.7,8.21,0.43,0.26,0.07,1
GTM,0.23,1.21,0.45,1.27,1.27,2.09,0.98,0.86,1.07,0.0,1.24,0.0,0.06,0.13,1.22,0.72,0.11,0.43,0.93,0.7,8.21,0.52,0.22,0.07,1
GUF,0.17,1.03,0.57,1.15,1.31,2.86,1.19,0.37,0.72,0.05,0.77,0.01,0.02,0.06,1.23,1.06,0.37,0.17,1.01,0.32,8.78,0.45,0.28,0.05,2
GUM,0.05,1.02,0.26,0.59,1.83,3.45,0.68,0.85,0.59,0.1,0.55,0.01,0.02,0.07,1.08,1.1,0.39,0.39,1.27,0.26,8.5,0.49,0.4,0.03,5
GUY,0.16,0.99,0.56,1.14,1.31,2.85,1.18,0.44,0.71,0.16,0.71,0.02,0.04,0.17,1.29,1.06,0.41,0.12,1.01,0.3,8.78,0.28,0.26,0.05,2
HKG,0.1,0.91,0.55,0.86,1.61,2.76,0.63,0.03,1.1,0.0,0.72,0.0,0.0,0.01,1.89,1.11,0.49,0.17,0.96,0.28,9.15,0.31,0.25,0.09,7
HND,0.22,1.2,0.44,1.27,1.27,2.08,0.98,0.84,1.1,0.16,1.3,0.01,0.03,0.07,1.29,0.68,0.15,0.46,0.95,0.69,8.21,0.33,0.24,0.02,1
HRV,0.1,0.85,0.73,0.79,2.02,3.03,0.75,0.18,1.01,0.1,1.13,0.03,0.03,0.03,1.07,0.97,0.38,0.2,0.92,0.24,8.83,0.39,0.17,0.06,7
HTI,0.25,1.2,0.45,1.27,1.27,2.08,0.97,1.01,1.04,0.0,1.29,0.01,0.11,0.19,1.26,0.71,0.12,0.45,0.94,0.74,8.21,0.19,0.18,0.05,1
HUN,0.07,0.96,0.4,0.88,1.69,3.43,0.64,0.21,1.13,0.08,1.13,0.01,0.03,0.02,0.96,0.76,0.42,0.16,1.25,0.27,8.82,0.45,0.19,0.04,7
IDN,0.04,1.04,0.27,0.59,1.83,3.45,0.68,0.82,0.59,0.11,0.57,0.01,0.03,0.08,1.14,1.09,0.38,0.39,1.28,0.27,8.5,0.43,0.39,0.03,5
IND,0.21,1.42,0.22,0.64,1.66,2.02,1.83,0.97,1.19,0.09,0.71,0.0,0.03,0.05,0.5,0.7,0.2,0.04,1.21,0.25,9.57,0.28,0.2,0.03,9
IRL,0.19,0.92,0.58,0.89,1.58,3.34,1.25,0.21,0.58,0.07,0.71,0.02,0.01,0.03,1.04,0.85,0.34,0.35,0.75,0.77,8.72,0.37,0.38,0.06,2
IRN,0.36,0.57,0.66,1.4,1.47,2.82,0.96,0.38,0.81,0.06,0.86,0.01,0.03,0.03,0.72,0.96,0.29,0.32,1.18,0.2,9.17,0.32,0.39,0.04,2
IRQ,0.59,0.98,0.56,0.85,1.54,3.07,0.96,0.22,0.74,0.03,1.0,0.0,0.05,0.02,0.55,0.68,0.06,0.22,0.76,0.29,10.21,0.3,0.29,0.03,3
ISL,0.12,0.96,0.64,1.12,1.6,3.22,0.8,0.18,0.77,0.11,0.9,0.01,0.03,0.01,1.17,1.08,0.39,0.25,0.95,0.28,8.84,0.23,0.23,0.08,7
ISR,0.47,1.06,0.49,0.92,1.79,3.1,1.12,0.07,0.86,0.04,0.86,0.01,0.02,0.01,0.93,0.77,0.21,0.19,0.84,0.25,9.45,0.33,0.17,0.04,3
ITA,0.11,0.79,0.66,0.67,2.01,2.93,0.79,0.13,1.05,0.05,1.3,0.02,0.02,0.02,1.19,1.03,0.37,0.17,0.96,0.19,8.79,0.48,0.22,0.06,7
JAM,0.24,1.27,0.44,1.26,1.27,2.07,0.98,0.53,1.18,0.0,1.31,0.0,0.06,0.1,1.45,0.76,0.14,0.45,0.93,0.7,8.21,0.31,0.24,0.08,1
JOR,0.47,0.96,0.49,0.89,1.79,3.08,1.09,0.11,0.89,0.05,1.01,0.0,0.02,0.02,1.04,0.76,0.19,0.14,0.85,0.27,9.45,0.19,0.21,0.02,3
JPN,0.04,0.86,0.31,1.0,1.69,3.89,0.34,0.13,0.57,0.08,0.91,0.02,0.02,0.01,1.48,1.06,0.22,0.5,1.43,0.31,8.01,0.64,0.35,0.13,5
KAZ,0.48,1.64,0.51,1.4,1.56,2.25,1.14,0.45,0.52,0.07,1.07,0.01,0.06,0.11,0.89,0.97,0.23,0.3,1.09,0.26,8.74,0.3,0.28,0.05,8
KEN,0.15,1.16,0.39,1.1,1.88,2.25,0.93,0.63,0.79,0.14,0.9,0.01,0.01,0.07,1.04,1.0,0.37,0.37,1.08,0.3,8.93,0.22,0.23,0.03,6
KGZ,0.48,1.45,0.52,1.45,1.56,2.35,1.11,0.67,0.47,0.09,1.19,0.0,0.0,0.03,0.67,0.92,0.5,0.24,1.09,0.25,8.74,0.41,0.2,0.02,8
